word,doc_id,sent_id,tok_id,sentence,predicted_sense,gold_label_manual
plant,30627,12,16,dupont nemours co the current contract operator and westinghouse corp which is to take over the plant next april,1,1
plant,14583,24,5,cramer has worked at the plant as a stacker since january but is determined to quit his job she said,1,1
plant,56233,12,12,on a visit to ohio on wednesday reagan was asked whether the plant should stay closed,1,1
plant,63981,5,26,these briefs call for appointment of a federal drug czar adoption of the equal rights amendment ending homelessness expanding aids research and providing advance notice of plant closings,1,1
plant,79802,4,6,the worker was decontaminated at the plant and the nuclear regulatory commission was notified bedell said,1,1
plant,22013,31,36,the drought has cut the tennessee valley authority s hydroelectric power production nearly in half this year and water dropping below intake pipes or rising too high in temperature threatens operation of the sequoyah nuclear power plant near soddy daisy and the allen steam plant near memphis said tva power manager robert c,1,1
plant,80732,12,13,he cited a government accounting office study which found that workers hit by plant closings but not represented by unions had an average of only two days warning,1,1
plant,17704,0,11,a man who had been fired from a top secret defense plant shot people there including a woman who spurned his attention and killed seven before surrendering authorities said,1,1
plant,32514,15,6,workers at an engine and stamping plant in kenosha wis should be included under the chrysler contract,1,1
plant,36136,0,20,the lone operating reactor at three mile island made an unscheduled shutdown for reasons believed to have originated in the plant s non nuclear turbine system a spokesman said,1,1
plant,41691,6,25,celebrezze and richard shank the ohio environmental protection agency director said ohio will use the order to force the energy department to clean up the plant and pay for its cost estimated at billion,1,1
plant,50625,4,1,pinellas plant st,1,
plant,43148,1,26,beginning next week occupational safety and health administration inspectors will start walking through high hazard areas of every factory they enter instead of just looking at plant office records of job illnesses and injuries the agency said tuesday,1,1
plant,42509,13,2,the acre plant is surrounded by a acre federally owned buffer zone but studies showing higher cancer rates and plutonium contamination have led to promises of an expensive cleanup,1,1
plant,60061,5,4,hours after a rocket plant exploded in henderson earlier this year he appeared at las vegas television stations to explain what had gone wrong,1,1
plant,15545,0,13,crews worked around the clock saturday to repair earthquake damage at a pumping plant that shut down the california aqueduct and its supply of water to the southern half of the state officials said,1,1
plant,58021,23,8,the iraqi air force thursday bombed a gas plant being built at kangan on iran s southern gulf coast and the cyrus oilfield in the northern gulf,1,1
plant,58781,12,3,of those one plant wppss no,1,1
plant,18299,20,3,avtex s other plant in lewistown pa lacks the equipment and the machinery in front royal cannot be moved he said,1,
plant,63249,7,15,according to intelligence sources the soviet spy ring was trying to infiltrate the paramax electronics plant in montreal where weapons guidance communications and sonar systems for a new generation of canadian frigates are being supplied under a million contract,1,1
plant,85589,22,16,however he added sales likely will decline a bit in the current model year because the plant is building a newly designed lincoln continental and work on those models is expected to curtail some town car production,1,1
plant,59720,12,3,the rhone poulenc plant is miles west of downtown charleston along a mile corridor lined with more than two dozen chemical plants on the kanawha river,1,1
plant,51317,11,25,salgado and other department officials say they are delaying until early next year the reopening of the first of three reactors at the savannah river plant where they manufacture nuclear weapons materials for the pentagon,1,1
plant,79739,38,13,the court ruled against goodyear atomic corp which operates the portsmouth gaseous diffusion plant near piketon ohio,1,1
plant,47068,15,4,nummi uses a gm plant previously shuttered because of troublesome labor relations,1,1
plant,1691,0,12,a french jet fighter crashed and exploded wednesday near a nuclear power plant but officials said the facility could have withstood the force of the impact if the plane had hit it,1,1
plant,77606,8,10,during the tour they will also inspect the sabca aviation plant in nearby gosselies where the missiles are maintained the embassy said,1,1
plant,43906,1,1,the plant run by e i,1,1
plant,46980,2,12,in a total of workers were caught up in mass layoffs or plant closings in the states compared with workers in the bureau of labor statistics said in its first comprehensive report on the issue,1,1
plant,51749,18,20,rooker said locations in more remote regions of nevada texas and utah were being considered for a replacement for the plant destroyed wednesday,1,1
plant,14247,2,28,the soviet union notified the united states over the weekend that it might send an advance team of up to five members to magna utah site of hercules plant no,1,1
plant,26502,14,7,for the rebuilding of a rocket fuel plant that blew up in nevada,1,1
plant,74108,5,21,workers also were to receive a percent cost of living raise that was suspended by the government in july and the plant management promised to reduce the shift from eight hours to six within days,1,1
plant,82008,1,23,comments by some officials during a conference on the medical effects of the accident and a tour of the mammoth chernobyl nuclear power plant last week suggested they are worried that public opposition could halt development of nuclear power in the soviet union,1,1
plant,73919,3,1,the plant is owned by the kiplinger washington editors which publishes the kiplinger letters and changing times magazine,1,1
plant,95009,7,29,state officials have called the plan inadequate despite revisions and they also say the plant should not reopen until a study of leukemia rates in the population surrounding the plant is complete,1,1
plant,42813,11,17,their case was bolstered by the death of a worker from cyanide poisoning at a film processing plant in chicago in just six months after osha had pronounced the company in compliance with regulations based on an examination of its injury and illness logs,1,1
plant,31892,24,24,he was referring to soviet authorities initial attempts to hush up the world s worst nuclear disaster an april explosion at the chernobyl nuclear plant in which at least people died and millions were exposed to increased levels of radioactivity,1,1
plant,35939,0,53,i don t really see a commitment that cleanup will be done and i don t see a timetable as to when it will be done lisa crawford spokeswoman for fernald residents for environmental safety and health panning an agreement that gives ohio the authority to regulate the federal cleanup of a uranium plant there,1,1
plant,88987,15,9,local and state officials had expressed outrage when the plant resumed production tuesday of ammonium perchlorate particularly since last week plant officials said they would wait until authorities determined the cause of the blast before reopening,1,1
plant,10020,0,7,the general manager of the savannah river plant is leaving but his departure has no connection with safety problems at the nuclear weapons fuel plant a spokesman for du pont says,1,1
plant,9389,7,37,the rule if adopted would allow the commission to reverse a february ruling by the atomic safety and licensing appeal board that blocked a low power license after sirens were removed from the massachusetts municipalities within the plant s mile zone,1,1
plant,83730,1,37,the memo written by the staff of the feed materials production center at fernald ohio said a study by plant operators in found emissions of up to pounds each month that year possibly pounds from fernald s plant,1,1
plant,19789,12,1,the plant spawned its own boom,1,1
plant,82173,0,10,the government on monday ordered the closure of a pesticide plant that exploded and spewed toxic smoke over a coastal resort in the central region of tuscany and hundreds of people sought treatment at hospitals,1,1
plant,10642,3,0,plant here this week,1,
plant,64249,28,0,plant he praised cooperation between labor and management following a buy out by management,1,1
plant,94482,14,22,a audit performed by the air force obtained after the accident complained of marginal industrial safety and fire protection procedures at the plant,1,1
plant,74886,2,3,will operate the plant for the doe beginning april replacing the du pont co which has managed srp since it was built in the early,1,1
plant,70295,3,25,most reagan administration fire has been directed at a provision that would require all but the smallest companies to provide employees with day notice of plant closings and large scale layoffs,1,1
plant,34189,7,7,dukakis comments caused one executive at the plant to ask another whether the democratic presidential candidate realized who the plant s owners were,1,1
